File Name,District,Health Center,Drug Name,Date,Transaction Type,Transacting Party,Receipt,Issuance,Adjustment,Stock Balance,Notes,Units,Balanced?,Was
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,4/30/09,Physical Count,,,,,0,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,5/31/09,Physical Count,,,,,0,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,6/25/09,Receipt,,240,,,240,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,6/25/09,Issuance,,,30,,210,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,6/25/09,Adjustment,,,,-60,150,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,6/30/09,Physical Count,,,,,150,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,7/1/09,Issuance,,,30,,120,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,7/5/09,Issuance,,,30,,90,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,7/18/09,Issuance,,,30,,60,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,7/25/09,Issuance,,,30,,30,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,7/30/09,Physical Count,,,,,30,,,,0
Millima RHC 1.09.09.Artemether.Lumefantrine 120.20mg,Kasama,Millima (Kasama),,8/10/09,Issuance,,,30,,0,,,,0
Misengo RHC 20.08.09 .Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Misengo (Kasama),Coartem 24,6/14/09,Physical Count,,,,,4,,,,0
Misengo RHC 20.08.09 .Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Misengo (Kasama),Coartem 24,6/29/09,Physical Count,,,,,4,,,,0
Misengo RHC 20.08.09 .Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Misengo (Kasama),Coartem 24,7/24/09,Physical Count,,,,,4,,,,0
Misengo RHC 20.08.09 .Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Misengo (Kasama),Coartem 24,7/28/09,Receipt,,4,,,8,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 12,5/1/08,Physical Count,,,,,0,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 12,5/30/09,Physical Count,,,,,0,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 12,6/30/08,Physical Count,,,,,0,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 12,7/30/08,Receipt,,120,,,120,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 12,7/31/08,Physical Count,,,,,120,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 12,8/31/08,Physical Count,,,,,120,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,5/1/09,Physical Count,,,,,8,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,5/13/09,Issuance,,,1,,7,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,5/13/09,Receipt,,2,,,9,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,5/26/09,Issuance,,,1,,8,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,5/30/09,Physical Count,,,,,8,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,6/22/09,Issuance,,,1,,7,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,6/30/09,Receipt,,6,,,13,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,6/30/09,Physical Count,,,,,13,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,7/11/09,Issuance,,,1,,12,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,7/22/09,Issuance,,,1,,11,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,7/31/09,Physical Count,,,,,11,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,8/4/09,Issuance,,,1,,10,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,8/17/09,Issuance,,,1,,9,,,,0
Mumbi Mfumu HP 01.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Mumbi Mfumu (Kasama),,8/31/09,Physical Count,,,,,9,,,,0
Mumbi Mfumu HP.Artemether.Lumefantrine 120.20mg.6 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 6,5/1/09,Physical Count,,,,,0,,,,0
Mumbi Mfumu HP.Artemether.Lumefantrine 120.20mg.6 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 6,5/13/09,Receipt,,60,,,60,,,,0
Mumbi Mfumu HP.Artemether.Lumefantrine 120.20mg.6 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 6,5/15/09,Issuance,,,30,,30,,,,0
Mumbi Mfumu HP.Artemether.Lumefantrine 120.20mg.6 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 6,5/30/09,Physical Count,,,,,30,,,,0
Mumbi Mfumu HP.Artemether.Lumefantrine 120.20mg.6 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 6,6/30/09,Physical Count,,,,,30,,,,0
Mumbi Mfumu HP.Artemether.Lumefantrine 120.20mg.6 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 6,7/30/09,Receipt,,30,,,60,,,,0
Mumbi Mfumu HP.Artemether.Lumefantrine 120.20mg.6 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 6,7/31/09,Physical Count,,,,,60,,,,0
Mumbi Mfumu HP.Artemether.Lumefantrine 120.20mg.6 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 6,8/21/09,Issuance,,,30,,30,,,,0
Mumbi Mfumu HP.Artemether.Lumefantrine 120.20mg.6 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 6,8/31/09,Physical Count,,,,,30,,,,0
Mumbi Mukulu RHC 21.08.09 Artemether.Lumefantrine 120.20mg.12 tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 12,8/22/09,Physical Count,,,,,0,,Doses,,0
Mumbi Mukulu RHC 21.08.09 Artemether.Lumefantrine 120.20mg.12 tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 12,8/22/09,Receipt,,120,,,120,,Doses,,0
Mumbi Mukulu RHC 21.08.09 Artemether.Lumefantrine 120.20mg.18 tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 18,8/22/09,Physical Count,,,,,0,,Doses,,0
Mumbi Mukulu RHC 21.08.09 Artemether.Lumefantrine 120.20mg.18 tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 18,8/22/09,Receipt,,120,,,120,,Doses,,0
Mumbi Mukulu rhc 21.08.09 Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 24,8/22/09,Physical Count,,,,,0,,Doses,,0
Mumbi Mukulu rhc 21.08.09 Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Mumbi Mfumu (Kasama),Coartem 24,8/22/09,Receipt,,120,,,120,,Doses,,0
Mumbi Mukulu rhc 21.08.09.Artemether.Lumefantrine 120.20mg.6tabs ,Kasama,Mumbi Mfumu (Kasama),Coartem 6,8/22/09,Physical Count,,,,0,0,,Doses,,0
Mumbi Mukulu rhc 21.08.09.Artemether.Lumefantrine 120.20mg.6tabs ,Kasama,Mumbi Mfumu (Kasama),Coartem 6,8/22/09,Receipt,,120,,,120,,Doses,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,5/14/09,Physical Count,,,,,90,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,5/31/09,Physical Count,,,,,90,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,6/8/09,Issuance,,,30,,60,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,6/22/09,Issuance,,,30,,30,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,6/25/09,Issuance,,,30,,0,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,6/30/09,Physical Count,,,,,0,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,6/30/09,Receipt,,150,,,150,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,7/15/09,Issuance,,,30,,120,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,7/24/09,Issuance,,,30,,90,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,7/31/09,Physical Count,,,,,90,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,7/11/09,Issuance,,,30,,60,,,,0
Musa RHC 03.09.09 Artemether.Lumefantirne 120.20mg.18 Tabs,Kasama,Musa (Kasama),Coartem 18,8/24/09,Issuance,,,30,,30,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg. 24 Tabs,Kasama,Musa (Kasama),Coartem 24,5/14/09,Physical Count,,,,,30,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg. 24 Tabs,Kasama,Musa (Kasama),Coartem 24,5/21/09,Issuance,,,30,,0,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg. 24 Tabs,Kasama,Musa (Kasama),Coartem 24,5/31/09,Physical Count,,,,,0,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg. 24 Tabs,Kasama,Musa (Kasama),Coartem 24,6/30/09,Physical Count,,,,,0,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg. 24 Tabs,Kasama,Musa (Kasama),Coartem 24,6/30/09,Receipt,,90,,,90,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg. 24 Tabs,Kasama,Musa (Kasama),Coartem 24,7/6/09,Issuance,,,30,,60,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg. 24 Tabs,Kasama,Musa (Kasama),Coartem 24,7/20/09,Issuance,,,30,,30,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg. 24 Tabs,Kasama,Musa (Kasama),Coartem 24,7/27/09,Receipt,,30,,,60,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg. 24 Tabs,Kasama,Musa (Kasama),Coartem 24,7/31/09,Physical Count,,,,,60,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg.6Tabs,Kasama,Musa (Kasama),Coartem 6,5/14/09,Physical Count,,,,,120,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg.6Tabs,Kasama,Musa (Kasama),Coartem 6,5/21/09,Issuance,,,30,,90,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg.6Tabs,Kasama,Musa (Kasama),Coartem 6,5/31/09,Physical Count,,,,,90,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg.6Tabs,Kasama,Musa (Kasama),Coartem 6,6/16/09,Issuance,,,30,,60,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg.6Tabs,Kasama,Musa (Kasama),Coartem 6,6/25/09,Issuance,,,30,,30,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg.6Tabs,Kasama,Musa (Kasama),Coartem 6,6/29/09,Issuance,,,30,,0,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg.6Tabs,Kasama,Musa (Kasama),Coartem 6,6/30/09,Physical Count,,,,,0,,,,0
Musa RHC 03.09.09 Artemether.Lumefantrine 120.20mg.6Tabs,Kasama,Musa (Kasama),Coartem 6,7/31/09,Physical Count,,,,,0,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,5/14/09,Physical Count,,,,,60,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,5/21/09,Issuance,,,30,,30,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,5/31/09,Physical Count,,,,,30,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,6/22/09,Issuance,,,30,,0,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,6/30/09,Physical Count,,,,,0,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,6/30/09,Receipt,,180,,,180,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,7/6/09,Issuance,,,30,,150,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,7/13/09,Issuance,,,30,,120,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,7/24/09,Issuance,,,30,,90,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,7/31/09,Physical Count,,,,,90,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,8/3/09,Issuance,,,30,,60,,,,0
Musa RHC 03.09.09 Artemether.Lumefatrine 120.20.6 Tabs,Kasama,Musa (Kasama),Coartem 6,9/1/09,Issuance,,,30,,30,,,,0
Mwamba RHC 18.06.09 Artemether.Lumenfantrine 6s,Kasama,Mwamba (Kasama),Coartem 6,1/13/09,Receipt,,2,,,2,UNREADABLE,Boxes,,0
Mwamba RHC 18.06.09 Artemether.Lumenfantrine 6s,Kasama,Mwamba (Kasama),Coartem 6,2/13/09,Issuance,,,1,,1,,Boxes,,0
Mwamba RHC 18.06.09 Artemether.Lumenfantrine 6s,Kasama,Mwamba (Kasama),Coartem 6,2/24/09,Issuance,,,1,,0,,Boxes,,0
Mwamba RHC 18.06.09 Artemether.Lumenfantrine 6s,Kasama,Mwamba (Kasama),Coartem 6,9-Mar,Receipt,,90,,,90,UNREADABLE,Doses,,0
Mwamba RHC 18.06.09 Artemether.Lumenfantrine 6s,Kasama,Mwamba (Kasama),Coartem 6,9-Mar,Issuance,,,30,,60,UNREADABLE,Doses,,0
Mwamba RHC 18.06.09 Artemether.Lumenfantrine 6s,Kasama,Mwamba (Kasama),Coartem 6,3/30/09,Physical Count,,,,,60,,Doses,,0
Mwamba RHC 18.06.09 Artemether.Lumenfantrine 6s,Kasama,Mwamba (Kasama),Coartem 6,4/6/09,Issuance,,,30,,30,,Doses,,0
Mwamba RHC 18.06.09 Artemether.Lumenfantrine 6s,Kasama,Mwamba (Kasama),Coartem 6,4/10/09,Issuance,,,30,,0,,Doses,,0
Mwamba rhc 18.06.09.Artemether.Lumenfantrine 12s,Kasama,Mwamba (Kasama),Coartem 12,1/12/09,Receipt,,150,,,150,UNCLEAR UNITS and UNREADABLE,,,0
Mwamba rhc 18.06.09.Artemether.Lumenfantrine 12s,Kasama,Mwamba (Kasama),Coartem 12,2/25/09,Issuance,,,1,,150,UNCLEAR UNITS and UNREADABLE,,,0
Mwamba rhc 18.06.09.Artemether.Lumenfantrine 12s,Kasama,Mwamba (Kasama),Coartem 12,3/13/09,Receipt,,60,,,60,UNCLEAR UNITS and UNREADABLE,,,0
Mwamba rhc 18.06.09.Artemether.Lumenfantrine 12s,Kasama,Mwamba (Kasama),Coartem 12,3/30/09,Physical Count,,,,,60,UNCLEAR UNITS and UNREADABLE,,,0
Mwamba rhc 18.06.09.Artemether.Lumenfantrine 12s,Kasama,Mwamba (Kasama),Coartem 12,4/25/09,Issuance,,,30,,30,,,,0
Mwamba rhc 18.06.09.Artemether.Lumenfantrine 12s,Kasama,Mwamba (Kasama),Coartem 12,5/6/09,Physical Count,,,,,30,,,,0
Mwamba rhc 18.06.09.Artemether.Lumenfantrine 12s,Kasama,Mwamba (Kasama),Coartem 12,5/15/09,Issuance,,,30,,0,,,,0
Mwamba RHC 18.06.09.Artemether.Lumenfantrine 24s,Kasama,Mwamba (Kasama),Coartem 24,6/18/09,Physical Count,,,,,0,,,,0
Mwamba RHC 18.06.09.Artemether.Lumenfatrine.24s.1,Kasama,Mwamba (Kasama),Coartem 24,8-Jul,Receipt,,30,,,30,Dates cut off,,,0
Mwamba RHC 18.06.09.Artemether.Lumenfatrine.24s.1,Kasama,Mwamba (Kasama),Coartem 24,8-Nov,Issuance,,,12,,18,Dates cut off,,,0
Mwamba RHC 18.06.09.Artemether.Lumenfatrine.24s.1,Kasama,Mwamba (Kasama),Coartem 24,8-Jan,Physical Count,,,,,18,Dates cut off,,,0
Mwamba RHC 18.06.09.Artemether.Lumenfatrine.24s.1,Kasama,Mwamba (Kasama),Coartem 24,8-Feb,Issuance,,,10,,8,Dates cut off,,,0
Mwamba RHC 18.06.09.Artemether.Lumenfatrine.24s.1,Kasama,Mwamba (Kasama),Coartem 24,,Issuance,,,2,,6,Dates cut off,,,0
Mwamba RHC 18.06.09.Artemether.Lumenfatrine.24s.1,Kasama,Mwamba (Kasama),Coartem 24,8-Feb,Issuance,,,6,,0,Dates cut off,,,0
Nkolemfumu RHC .27.07.09.Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,6/30/09,Receipt,,90,,,90,,,,0
Nkolemfumu RHC .27.07.09.Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,7/18/09,Issuance,,,30,,60,,,,0
Nkolemfumu RHC 02.09.09.Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 24,6/30/09,Receipt,,90,,,90,,,,0
Nkolemfumu RHC 02.09.09.Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 24,7/18/09,Physical Count,,,,,90,,,,0
Nkolemfumu RHC 02.09.09.Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 24,7/18/09,Issuance,,,30,,60,,,,0
Nkolemfumu RHC 02.09.09.Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 24,7/30/09,Receipt,,30,,,90,,,,0
Nkolemfumu RHC 02.09.09.Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 24,7/31/09,Physical Count,,,,,90,,,,0
Nkolemfumu RHC 02.09.09.Artemether.Lumefantrine 120.20mg.24 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 24,8/31/09,Physical Count,,,,,90,,,,0
Nkolemfumu rhc 02.09.09 Artemether.Lumefantrine 120.20mg.18 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 18,6/30/09,Receipt,,120,,,120,,,,0
Nkolemfumu rhc 02.09.09 Artemether.Lumefantrine 120.20mg.18 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 18,7/31/09,Physical Count,,,,,120,,,,0
Nkolemfumu rhc 02.09.09 Artemether.Lumefantrine 120.20mg.18 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 18,7/31/09,Physical Count,,,,,120,,,,0
Nkolemfumu rhc 02.09.09 Artemether.Lumefantrine 120.20mg.18 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 18,8/31/09,Physical Count,,,,,120,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 12,5/5/09,Physical Count,,,,,60,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 12,5/31/09,Physical Count,,,,,60,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 12,6/30/09,Receipt,,60,,,120,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 12,6/30/09,Physical Count,,,,,120,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 12,7/10/09,Physical Count,,,,,120,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 12,7/10/09,Issuance,,,30,,90,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 12,7/30/09,Receipt,,60,,,150,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 12,7/31/09,Physical Count,,,,,150,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg.12 Tabs,Kasama,Nkolemfumu (Kasama),Coartem 12,8/31/09,Physical Count,,,,,150,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Nkolemfumu (Kasama),,5/5/09,Physical Count,,,,,30,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Nkolemfumu (Kasama),,5/10/09,Issuance,,,30,,0,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Nkolemfumu (Kasama),,5/31/09,Physical Count,,,,,0,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Nkolemfumu (Kasama),,6/30/09,Receipt,,30,,,30,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Nkolemfumu (Kasama),,6/30/09,Physical Count,,,,,30,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Nkolemfumu (Kasama),,7/10/09,Issuance,,,30,,0,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Nkolemfumu (Kasama),,7/30/09,Receipt,,90,,,90,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Nkolemfumu (Kasama),,7/31/09,Physical Count,,,,,90,,,,0
Nkolemfumu RHC 02.09.09 Artemether.Lumefantrine 120.20mg,Kasama,Nkolemfumu (Kasama),,8/31/09,Physical Count,,,,,90,,,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,6/6/08,Receipt,,2,,,2,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,6/30/08,Physical Count,,,,,2,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,6/3/08,Issuance,,,1,,1,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,6/30/08,Physical Count,,,,,1,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,7/31/08,Physical Count,,,,,1,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,8/31/08,Physical Count,,,,,1,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,9/30/08,Physical Count,,,,,1,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,10/3/08,Issuance,,,1,,0,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,11/30/08,Physical Count,,,,,0,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,12/5/08,Receipt,,1,,,1,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,12/31/08,Physical Count,,,,,1,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,1/31/09,Physical Count,,,,,1,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,2/2/09,Issuance,,,1,,0,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,2/28/09,Physical Count,,,,,0,,Boxes,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,3/1/09,Receipt,,30,,,30,UNCLEAR UNITS,,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,3/31/09,Adjustment,,,,-30,0,,,,0
Nkolemfumu RHC 27.07.09 Artemether.Lumefantrine 24s,Kasama,Nkolemfumu (Kasama),Coartem 24,5/1/09,Physical Count,,,,,0,,,,0
